Category,Name_in_database,Authors,Journal,Year,Expt_in_paper,Stimuli,Num_subjects,Min_trials_per_subject,Max_trials_per_subject,Num_tasks_x_conditions,Confidence_type,Confidence_scale,Conf_simultaneous_with_decision,Manipulations,Notes
Perception,VanBoxtel_2019_Expt1,"van Boxtel, Orchard, Tsuchiya",bioRxiv,2019,Expt 1,Random dot kinematogramms,45,1600,1600,1,confidence rating,4-point,yes,direction distribution of dots,
Perception,VanBoxtel_2019_Expt2,"van Boxtel, Orchard, Tsuchiya",bioRxiv,2019,Expt 2,Random dot kinematogramms,37,1600,1600,1,confidence rating,4-point,yes,direction distribution of dots,
Perception,Wang_2017_NatComm,Wang et al.,Nat Commun,2017,,ambiguous faces,16,176,440,1,confidence rating,3-point,no,stimulus ambiguity,
Perception,Wang_2017_Neuropsychologia,Wang et al.,Neuropsychologia,2017,,ambiguous faces,22,252,252,1,confidence rating,3-point,no,stimulus ambiguity,
Perception,Wang_2018,Wang,Scientific Reports,2018,,ambiguous faces,24,504,504,2,confidence rating,3-point,no,stimulus ambiguity,
Memory,Weidemann_2016,Weidemann & Kahana,Royal Society Open Science,2016,,words,171,2109,5866,1,confidence rating,5-point,no,"recogniton memory, target proportion",
Memory,Wierzchon_2012,"Wierzcho_, Asanowicz, Paulewicz & Cleeremans",Consciousness and Cognition,2012,Expt 1,letter strings,218,60,60,8,many types,4-point,no,scale comparison,
Perception,Wierzchon_2014,"Wierzcho_, Paulewicz, Asanowicz, Timmermans & Cleeremans",Consciousness and Cognition,2014,Expt 1,faces,155,384,384,8,many types,4-point,no,presentation time + scale comparison,
Perception,Wierzchon_2019,"Wierzcho_, Anzulewicz, Hobot, Paulewicz & Sackur",Consciousness and Cognition,2019,Expt 1,Gabors,71,192,320,3,many types,continuous (0-1),no,presentation time + scale comparison,
Perception,Xiang_2021,"Xiang, Graeber, Enke, Gershman","Attention, Perception, & Psychophysics",2021,,dots,300,240,240,2,confidence rating,11-point (0-10),no,stimulus duration (2.0 s or 0.1 s; within-subject),
Mixed (Memory and Cognitive),Xu_2019_Exp1,Xu & Kwok,Memory,2019,Expt 1,paired images,31,280,280,4,confidence rating,4-point,no,congruent vs incongruent,
Mixed (Memory and Cognitive),Xu_2019_Exp2,Xu & Kwok,Memory,2019,Expt 2,paired images,24,90,180,4,confidence rating,4-point,no,congruent vs incongruent,
Mixed (Perception & Memory),Ye_2018,Ye et al.,J.Neurosci,2018,,paired images,18,960,960,4,confidence rating,4-point,no,TMS to precuneus/vertex,
Perception,Yeon_2019,Yeon and Rahnev,bioRxiv,2019,Expt 1,Grid dots,32,630,630,6,confidence rating,continuous (0-100) / 4-point,no,constrained decision choices,
Perception,Yeon_unpub_Exp1,"Yeon, Ulutas, & Rahnev",Unpub,,Expt1,Moving dots,24,840,840,2,confidence rating,4-point,no,volatility in direction,
Perception,Yeon_unpub_Exp2,"Yeon, Bhardwas, & Rahnev ",Unpub,,Expt2,Moving dots,37,800,880,2,confidence rating,4-point,no,volatility in direction,
Cognitive,Zylberberg_2016,"Zylberberg, Fetsch, Shadlen",eLife,2016,Expt 3,Random dot kinematogram,3,1536,2112,2,confidence rating,continuous (0-1),yes,"motion coherence, stimulus duration, volatility",
